,date,username,geo,text,likes,retweets,hashtags
0,2019-09-19 19:13:27+00:00,gmanews_sports,,: Kevin Durant in Brooklyn jersey!https://twitter.com/brooklynnets/status/1174756850664951816 …,5,1,
0,2019-09-19 11:41:05+00:00,gmanews_sports,,Gilas Pilipinas out of FIBA Olympic Qualifying Tournamenthttp://bit.ly/2lVCPM7,22,7,
0,2019-09-19 09:02:12+00:00,gmanews_sports,,Changes in schedule for basketball games on Sept. 29 | via @uaap_officialhttps://twitter.com/uaap_official/status/1174605188100845568 …,3,0,
0,2019-09-19 05:54:25+00:00,gmanews_sports,,Kevin Belingon should be wary of Bibiano Fernandes' grappling and right hand — Mark Sangiaohttp://bit.ly/2kR8TjO,0,0,
0,2019-09-19 02:04:54+00:00,gmanews_sports,,Veteran boxing promoter Bob Arum believes Manny Pacquiao should retire from the sport soon unless he can land a lucrative rematch with Floyd Mayweather.http://bit.ly/2kIsG5d,25,3,
0,2019-09-18 23:46:01+00:00,gmanews_sports,,"Golden State Warriors guard Stephen Curry says he expects to play for the United States at next year's Tokyo Olympics, telling ESPN: ""That is the plan, for sure.""http://bit.ly/2knRVJF",6,0,
0,2019-09-18 13:35:16+00:00,gmanews_sports,,NU coach Jamike Jarin still proud of team despite 4 straight losseshttp://bit.ly/2knA05U,4,1,
0,2019-09-18 11:03:22+00:00,gmanews_sports,,NU's Jamike Jarin still proud despite four straight heartbreaking losseshttp://bit.ly/2m0fVmw,5,0,
0,2019-09-18 10:52:52+00:00,gmanews_sports,,"UAAP: UST falls to Adamson in fourth quarter meltdown, 78-71http://bit.ly/2mmGjYa",2,0,
0,2019-09-18 07:12:49+00:00,gmanews_sports,,"JUST IN: UST Growling Tigers fall to Adamson in fourth quarter meltdown, 78-71. | via @jk_carandang",5,1,
0,2019-09-18 07:10:12+00:00,gmanews_sports,,Adamson ceasefire. 24.2 ticks. | via @jk_carandang,1,0,
0,2019-09-18 07:03:55+00:00,gmanews_sports,,"Jerick Ahanmisi brings Adamson to 74, UST 71, 39.3 seconds left in Q4. | via @jk_carandang",14,3,
0,2019-09-18 06:50:45+00:00,gmanews_sports,,"Timeout Adamson, 68-59, UST. 4:57 in Q4. | via @jk_carandang",3,1,
0,2019-09-18 06:39:32+00:00,gmanews_sports,,End of Q3: UST 58-48 Adamson | via @jk_carandang,11,2,
0,2019-09-18 06:09:56+00:00,gmanews_sports,,"At the half, UST 38-33 AdU. #UAAPSeason82 | via @jk_carandangpic.twitter.com/PlX7pvZWQl",14,3,#UAAPSeason82
0,2019-09-18 05:58:37+00:00,gmanews_sports,,NU coach Jamike Jarin still proud of their team despite fourth heartbreaking loss. | via @jk_carandangpic.twitter.com/0UY2ei21A0,48,5,
0,2019-09-18 05:44:50+00:00,gmanews_sports,,"The UP Fighting Maroons survived a late run from the NU Bulldogs to notch their third win, 80-79, Wednesday at the Mall of Asia Arena.http://bit.ly/2krZu2c",1,0,
